loop accuracy efficiency purity fom query_id1 
0 0.47491638795986624 0.3972602739726027 0.7767857142857143 0.21334348046676815 ZTF19ackjtfm 
1 0.47315436241610737 0.3972602739726027 0.7767857142857143 0.21334348046676815 ZTF19ackjvjr 
2 0.47474747474747475 0.39908256880733944 0.7767857142857143 0.21432212028542308 ZTF19ackjvtl 
3 0.47297297297297297 0.39908256880733944 0.7767857142857143 0.21432212028542308 ZTF19acklbjr 
4 0.4711864406779661 0.39631336405529954 0.7747747747747747 0.21169533732146434 ZTF19aclhnkd 
5 0.5170068027210885 0.47685185185185186 0.7803030303030303 0.25850389863547757 ZTF19aclhohd 
6 0.5460750853242321 0.5395348837209303 0.7733333333333333 0.2870919564753574 ZTF19aclkbqc 
7 0.547945205479452 0.5327102803738317 0.7808219178082192 0.2891855807743658 ZTF19aclljyq 
8 0.5429553264604811 0.539906103286385 0.7666666666666667 0.2822236448997012 ZTF19aclobbu 
9 0.5517241379310345 0.5164319248826291 0.8029197080291971 0.2974215274193152 ZTF19aclofmz 
10 0.5501730103806228 0.5188679245283019 0.7971014492753623 0.29420346236140826 ZTF19aclyezb 
11 0.5555555555555556 0.5260663507109005 0.7985611510791367 0.2994531534815895 ZTF19acmbekd 
12 0.5400696864111498 0.5071090047393365 0.7925925925925926 0.2840872434927173 ZTF19acmbiad 
13 0.5384615384615384 0.5047619047619047 0.7910447761194029 0.28160401002506263 ZTF19acmbjvi 
14 0.5473684210526316 0.5215311004784688 0.7898550724637681 0.29003515281710773 ZTF19acmbkmr 
15 0.545774647887324 0.5144230769230769 0.7925925925925926 0.2881846556584776 ZTF19acmblbi 
16 0.5406360424028268 0.5217391304347826 0.7769784172661871 0.28033744321868914 ZTF19acmdpyr 
17 0.5425531914893617 0.5194174757281553 0.781021897810219 0.2821201517914346 ZTF19acmelor 
18 0.5302491103202847 0.49514563106796117 0.7846153846153846 0.2715314751017851 ZTF19acmgyka 
19 0.5285714285714286 0.4926829268292683 0.7829457364341085 0.26897824653922214 ZTF19acmvrsw 
20 0.5268817204301075 0.49019607843137253 0.78125 0.2664109121909633 ZTF19acmwfli 
21 0.5287769784172662 0.4950980392156863 0.7829457364341085 0.2702967673555909 ZTF19acmwipq 
22 0.5270758122743683 0.4975369458128079 0.7769230769230769 0.26729378471858295 ZTF19acmwkul 
23 0.5289855072463768 0.5 0.7769230769230769 0.26861702127659576 ZTF19acmwszk 
24 0.5272727272727272 0.5 0.7769230769230769 0.26861702127659576 ZTF19acmxidf 
25 0.5145985401459854 0.4925373134328358 0.7615384615384615 0.253964552238806 ZTF19acmxymo 
26 0.5238095238095238 0.5 0.7692307692307693 0.2631578947368421 ZTF19acmyacs 
27 0.5220588235294118 0.5 0.7692307692307693 0.2631578947368421 ZTF19acmyljb 
28 0.5276752767527675 0.507537688442211 0.7709923664122137 0.2683838038359336 ZTF19acmywjc 
29 0.5333333333333333 0.5151515151515151 0.7727272727272727 0.27367424242424243 ZTF19acnfjyw 
30 0.5315985130111525 0.5126903553299492 0.7709923664122137 0.2711085125043187 ZTF19acngsnb 
31 0.5298507462686567 0.5102040816326531 0.7692307692307693 0.26852846401718583 ZTF19acngsnc 
32 0.5355805243445693 0.517948717948718 0.7709923664122137 0.2738891126325681 ZTF19acnjwgm 
33 0.5300751879699248 0.5051546391752577 0.7716535433070866 0.26759543048202844 ZTF19acnkeji 
34 0.5245283018867924 0.49740932642487046 0.768 0.2609360400917353 ZTF19acnpnqq 
35 0.5303030303030303 0.5052083333333334 0.7698412698412699 0.26633265398550726 ZTF19acnqsui 
36 0.5285171102661597 0.5026178010471204 0.768 0.26366835464766974 ZTF19acnzkph 
37 0.5229007633587787 0.49473684210526314 0.7642276422764228 0.25693515556847923 ZTF19acoaoty 
38 0.5210727969348659 0.49206349206349204 0.7622950819672131 0.25423280423280425 ZTF19acojuzv 
39 0.5192307692307693 0.48936170212765956 0.7603305785123967 0.25151551170807085 ZTF19acojxzo 
