id,type,a_g,b_g,c_g,snratio_g,chisq_g,nrise_g,a_r,b_r,c_r,snratio_r,chisq_r,nrise_r
ZTF19aclofmz,Ia,0.4262667649334549,4.30533547699331,8181.5447459299985,15.016332429404757,107.49033876796216,11.0,0.40861937409872284,4.401158941211216,9641.567951170911,20.817272780538033,96.31275286552973,15.0
ZTF20aaerxsd,Ia,0.5306269601051176,3.8631275984869458,6535.2322796951075,12.715736607747164,199.5955444295202,4.0,0.4225508846293415,3.3146808794054126,5152.547871765329,11.12812290291682,293.07666462260806,5.0
ZTF20aamiwbp,Ia,0.8824727200753046,-0.6972782641978089,2343.106659440651,8.534444347605056,2.171968065152133,5.0,0.3704972325650814,0.4395545297957411,2590.944061792988,8.82568251920861,37.8792114559226,6.0
ZTF18aaibibr,Ia,0.3869243218206757,-4.668025152398141,1895.740314674249,7.968273733834448,42.28360509998372,8.0,0.024261655914109528,-59.750332564158896,1082.5401538292638,6.046020173328144,12.504271621210009,8.0
ZTF20aakfofq,Ia,0.37816009429868774,0.7138576348608932,4086.9826950177235,10.324690941835687,41.153524435499314,4.0,0.3627636407573084,1.5299036588757347,3611.007621079406,10.964319606349264,54.87594020097188,8.0
ZTF18aboefvi,Ia,0.0956507577240471,-31.194924069270638,9439.37801070856,13.983459025790756,23.32584603061832,8.0,0.0006249070424574782,3152.962301950964,70030.81074693352,20.35265196905131,9.132394448432386,10.0
ZTF20aafrjqw,Ia,2.1646702511886757,0.7227376898859347,4101.171230284783,11.320605548747668,64.73492810417,4.0,0.34310227416567196,5.701454922344276,4522.77591754617,11.190600449919371,39.042602293602286,8.0
ZTF20abwkqxd,Ia,0.07203937952778998,70.29644325082143,1011337.7063022116,16.84644077346965,9.150087404644403,4.0,0.40260957604534175,2.2753491063824134,8793.48206400942,17.57458582005075,160.07863870793508,7.0
ZTF20aaqvzko,Ia,0.4459566130598114,4.344464739221811,14648.690039182367,15.458646566034382,5.795647055289136,4.0,0.39894475381346545,5.185132113490331,14309.09797946561,14.597420123576136,20.57995329425413,4.0
ZTF18aaajrso,Ia,0.1384833476629295,-7.9232429199155066,473.1528153022489,4.0567166775219885,14.220247431703164,9.0,1721.4591791660018,-1723.295973668891,2268.476479041757,8.941247462014024,35.52198576966065,6.0
ZTF20aaichor,Ia,0.11897246096854448,20.1565028206124,6292.721464532414,5.509038208422255,447.64468108900684,12.0,0.29564525964084454,3.884347798434019,1437.9319572532875,4.714963733090133,166.4463291445142,14.0
ZTF19acnfjyw,Ia,0.48094994022744597,3.409267099711469,7174.234992972583,13.478320782163921,171.3446089733318,9.0,0.3427910611974287,5.2195681592832095,8060.880094109292,14.19457604149668,203.87724579623642,11.0
ZTF19acnjwgm,Ia,0.4176036509703713,6.46568459988507,17867.41959419813,19.31806759631873,192.2696060562732,12.0,0.4373732025017332,3.8380610166295166,15449.169363073737,21.091230472012114,255.13777850378239,12.0
ZTF18aaybfsd,Ia,0.5290910241591269,2.2334779692787667,13934.162696556441,20.750050953928266,49.535480560512596,5.0,0.4378140455920399,2.6568672997010783,14381.405564871364,19.024196849675,189.2031352108921,7.0
ZTF19acokzjy,Ia,0.48636594256688187,4.053335850924742,6087.010398549281,9.058246816480189,52.23135638234645,5.0,0.3072574026697049,5.015323724425612,6076.717110143044,11.461957524521893,31.98461345407722,6.0
ZTF19acgbzam,Ia,0.9423610757918078,-2.6588656444062906,5495.622830908484,13.125027763226484,0.38246793554780933,5.0,0.7324946796577484,-2.0885408763037208,6134.565240216442,15.720876078814376,3.4575347931089757,4.0
ZTF20aaupolv,Ia,2.4160248550103067,0.2925353775823768,14577.224566457553,26.106328828817166,412.2186902272788,4.0,2.26592913960811,0.3537366104609103,13771.902061398818,21.733417519333074,116.55275195087106,5.0
