id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.938
ZTF18aatrkga,SN Ia,0.938
ZTF19acdkzxk,SN II,0.938
ZTF19acdxlns,SN Ia,0.681
ZTF19acecluy,SN II,0.938
ZTF19acekkts,SN Ia,0.938
ZTF19acenveq,SN Ia,0.938
ZTF19aceqxtg,SN Ia,0.938
ZTF19acetxvq,SN Ia,0.938
ZTF19aceuacu,SN Ia,0.733
ZTF19acewotx,SN Ia,0.938
ZTF19acewuwn,SN II,0.289
ZTF19acexijn,SN Ia,0.938
ZTF19acfecsg,SN Ia,0.829
ZTF19acfejbj,SN II,0.764
ZTF19acfmwlh,SN Ia,0.938
ZTF19acfrntd,SN Ia,0.938
ZTF19acfsbpa,SN II,0.938
ZTF19acfsqjx,SN Ia,0.892
ZTF19acftaml,SN Ia,0.822
ZTF19acftfav,SN IIP,0.753
ZTF19acfthre,SN Ia,0.938
ZTF19acftude,SN IIn,0.59
ZTF19acfwynw,SLSN-I,0.729
ZTF19acfxbki,SN Ia,0.938
ZTF19acfxbxe,SN Ia,0.938
ZTF19acgaxej,SN Ia,0.938
ZTF19acgbkzr,SN II,0.803
ZTF19acgbzam,SN Ia,0.243
ZTF19acgcdas,SN Ia,0.938
ZTF19acgcshq,SN Ia,0.599
ZTF19acgdfjt,SN Ia,0.938
ZTF19acgdxel,SN Ia,0.72
ZTF19acgemqj,SN Ia-91T-like,0.771
ZTF19acgfvvi,SN II,0.938
ZTF19acgjnfz,SN Ia,0.938
ZTF19acgjnis,SN Ia,0.938
ZTF19acgjohb,SN Ia,0.792
ZTF19acgjosf,SN Ia,0.587
ZTF19acgjpgh,SLSN-I,0.906
ZTF19acgmkrt,SN Ia,0.776
ZTF19acgogcm,SN Ia,0.938
ZTF19acgonwy,SN Ia,0.776
ZTF19acgouje,SN Ia,0.938
ZTF19acgphsf,SN Ia,0.938
ZTF19acgpkye,SN Ia,0.938
ZTF19acgpqxt,SN Ia,0.879
ZTF19acgqjln,SN Ia,0.961
ZTF19acgrbeb,SN Ia,0.531
ZTF19acgxbwo,SN Ia,0.367
ZTF19acgzwbm,SN II,0.938
ZTF19acgzzea,SN IIP,0.938
ZTF19achagst,SN Ia,0.923
ZTF19achahea,SN Ia,0.938
ZTF19achajnc,SN Ia,0.819
ZTF19achaspq,SN Ia,0.703
ZTF19achejoc,SN Ia,0.406
ZTF19achetvw,SN Ia,0.586
ZTF19achiyvy,SN Ic,0.669
ZTF19achjpyc,SN Ia-91T-like,0.938
ZTF19achjqbk,SN IIP,0.534
ZTF19achtewn,SN Ia,0.672
ZTF19achticg,SN Ia,0.938
ZTF19achtifr,SN II,0.938
ZTF19achvpik,SN Ia,0.523
ZTF19acifuyf,SN Ia,0.536
ZTF19acignlo,SN II,0.313
ZTF19acigqdd,SN Ia-91T-like,0.844
ZTF19acihfxz,SN Ia,0.939
ZTF19acihgng,SN Ia,0.956
ZTF19acihlft,SN Ia,0.696
ZTF19acitnck,SN Ia,0.896
ZTF19acjdufa,SN Ia,0.674
ZTF19acjdwqv,SN Ia,0.943
ZTF19acjerdh,SN Ia,0.957
ZTF19acjerzj,SN Ia,0.938
ZTF19acjfhom,SN Ia,0.927
ZTF19acjifxp,SN Ia,0.938
ZTF19acjjwsy,SN Ia,0.798
ZTF19acjnatv,SN Ia,0.797
ZTF19acjnaxa,SN Ia,0.738
ZTF19acjqecl,SN Ia,0.884
ZTF19acjtkha,SN Ia,0.558
ZTF19acjtlxe,SN Ic,0.938
ZTF19acjtpmm,SN II,0.938
ZTF19acjtpqd,SN Ic,0.938
ZTF19acjuomg,SN Ia,0.941
ZTF19acjurot,SN Ia,0.856
ZTF19acjutrw,SN IIn,0.938
ZTF19acjwcqy,SN Ic-BL,0.725
ZTF19acjwdnu,SN II,0.722
ZTF19acjwqvo,SN Ia,0.802
ZTF19ackbclh,SN IIn,0.938
ZTF19ackjene,SN IIb,0.867
ZTF19ackjjwf,SN Ib,0.931
ZTF19ackjlrd,SN Ia,0.938
ZTF19ackjmge,SN Ia,0.938
ZTF19ackjnuq,SN Ia,0.938
ZTF19ackjozg,SN Ia,0.938
ZTF19ackjsys,SN Ia,0.938
ZTF19ackjszs,SN Ib,0.938
ZTF19ackjtfm,SN II,0.938
ZTF19ackjvjr,SN Ia,0.938
ZTF19ackjvtl,SN IIP,0.938
ZTF19acklbjr,SN Ia,0.849
ZTF19aclhnkd,SN Ia,0.942
ZTF19aclhohd,SN Ia,0.919
ZTF19aclkbqc,SN Ia,0.948
ZTF19aclobbu,SN II,0.734
ZTF19aclofmz,SN Ia,0.945
ZTF19aclthzj,SN Ia,0.938
ZTF19aclyezb,SN Ia,0.812
ZTF19acmbekd,SN Ibn,0.831
ZTF19acmbiad,SN Ia,0.771
ZTF19acmbjvi,SN Ia,0.607
ZTF19acmbkmr,SN Ia,0.542
ZTF19acmblbi,SN Ia,0.531
ZTF19acmdpyr,SN Ia,0.963
ZTF19acmelor,SN Ib,0.727
ZTF19acmgyka,SN Ia,0.958
ZTF19acmvrsw,SN Ia,0.488
ZTF19acmwfli,SN II,0.938
ZTF19acmwipq,SN Ia,0.938
ZTF19acmwkul,SN Ia,0.938
ZTF19acmwszk,SLSN-II,0.938
ZTF19acmxymo,SN Ia,0.938
ZTF19acmyacs,SN II,0.938
ZTF19acmyljb,SN Ia,0.938
ZTF19acmywjc,SN Ia,0.938
ZTF19acnfjyw,SN Ia,0.876
ZTF19acngsnb,SN Ia,0.722
ZTF19acngsnc,SN Ia,0.893
ZTF19acnjwgm,SN Ia,0.911
ZTF19acnkeji,SN Ia,0.937
ZTF19acnpnqq,SN Ia,0.536
ZTF19acnqsui,SN Ia,0.907
ZTF19acnzkph,SN Ia,0.824
ZTF19acoaoty,SN Ia,0.97
ZTF19acojuzv,SN Ia,0.849
ZTF19acojxzo,SN Ia,0.467
ZTF19acoknir,SN Ib/c,0.938
ZTF19acokufi,SN Ia,0.794
ZTF19acokzjy,SN Ia,0.85
