id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.997
ZTF18aatrkga,SN Ia,0.997
ZTF19acdkzxk,SN II,0.997
ZTF19acdxlns,SN Ia,0.752
ZTF19acecluy,SN II,0.997
ZTF19acenveq,SN Ia,0.997
ZTF19aceqxtg,SN Ia,0.997
ZTF19acetxvq,SN Ia,0.997
ZTF19aceuacu,SN Ia,0.603
ZTF19acewotx,SN Ia,0.997
ZTF19acewuwn,SN II,0.266
ZTF19acexijn,SN Ia,0.997
ZTF19acfecsg,SN Ia,0.684
ZTF19acfejbj,SN II,0.47
ZTF19acfmwlh,SN Ia,0.997
ZTF19acfrntd,SN Ia,0.997
ZTF19acfsbpa,SN II,0.997
ZTF19acfsqjx,SN Ia,0.733
ZTF19acftaml,SN Ia,0.907
ZTF19acftfst,SN Ia,0.925
ZTF19acfthre,SN Ia,0.997
ZTF19acftude,SN IIn,0.341
ZTF19acfxbki,SN Ia,0.997
ZTF19acfxbxe,SN Ia,0.997
ZTF19acgaxej,SN Ia,0.997
ZTF19acgbkzr,SN II,0.808
ZTF19acgbzam,SN Ia,0.162
ZTF19acgcdas,SN Ia,0.997
ZTF19acgcshq,SN Ia,0.58
ZTF19acgdfjt,SN Ia,0.997
ZTF19acgdxel,SN Ia,0.847
ZTF19acgemqj,SN Ia-91T-like,0.714
ZTF19acgfvvi,SN II,0.997
ZTF19acgjnfz,SN Ia,0.997
ZTF19acgjnis,SN Ia,0.997
ZTF19acgjojy,SN Ia,0.962
ZTF19acgjosf,SN Ia,0.87
ZTF19acgjpgh,SLSN-I,0.703
ZTF19acgmkrt,SN Ia,0.2
ZTF19acgogcm,SN Ia,0.997
ZTF19acgonwy,SN Ia,0.772
ZTF19acgouje,SN Ia,0.997
ZTF19acgphsf,SN Ia,0.997
ZTF19acgpkye,SN Ia,0.997
ZTF19acgpqxt,SN Ia,0.771
ZTF19acgqjln,SN Ia,0.395
ZTF19acgrbeb,SN Ia,0.488
ZTF19acgxbwo,SN Ia,0.25
ZTF19acgzwbm,SN II,0.997
ZTF19acgzzea,SN IIP,0.997
ZTF19achagst,SN Ia,0.216
ZTF19achahea,SN Ia,0.997
ZTF19achajnc,SN Ia,0.475
ZTF19achaspq,SN Ia,0.415
ZTF19achejoc,SN Ia,0.155
ZTF19achetvw,SN Ia,0.795
ZTF19achiyvy,SN Ic,0.9
ZTF19achjpyc,SN Ia-91T-like,0.997
ZTF19achjqbk,SN IIP,0.893
ZTF19achtewn,SN Ia,0.71
ZTF19achticg,SN Ia,0.997
ZTF19achtifr,SN II,0.997
ZTF19acifuyf,SN Ia,0.155
ZTF19acigkma,SN Ia-91T-like,0.498
ZTF19acignlo,SN II,0.178
ZTF19acigqdd,SN Ia-91T-like,0.556
ZTF19acihfxz,SN Ia,0.54
ZTF19acihgng,SN Ia,0.256
ZTF19acihlft,SN Ia,0.335
ZTF19acitkzs,SN Ia,0.131
ZTF19acitnck,SN Ia,0.7
ZTF19acjdufa,SN Ia,0.576
ZTF19acjdwqv,SN Ia,0.939
ZTF19acjerdh,SN Ia,0.88
ZTF19acjerzj,SN Ia,0.997
ZTF19acjfhom,SN Ia,0.966
ZTF19acjifxp,SN Ia,0.997
ZTF19acjjwsy,SN Ia,0.58
ZTF19acjnatv,SN Ia,0.879
ZTF19acjqecl,SN Ia,0.624
ZTF19acjtkha,SN Ia,0.179
ZTF19acjtlxe,SN Ic,0.997
ZTF19acjtpmm,SN II,0.997
ZTF19acjtpqd,SN Ic,0.997
ZTF19acjuomg,SN Ia,0.584
ZTF19acjurot,SN Ia,0.658
ZTF19acjutrw,SN IIn,0.997
ZTF19acjwcqy,SN Ic-BL,0.834
ZTF19acjwdnu,SN II,0.631
ZTF19acjwqvo,SN Ia,0.295
ZTF19ackbclh,SN IIn,0.997
ZTF19ackjene,SN IIb,0.632
ZTF19ackjjwf,SN Ib,0.256
ZTF19ackjlrd,SN Ia,0.997
ZTF19ackjmge,SN Ia,0.997
ZTF19ackjnuq,SN Ia,0.997
ZTF19ackjozg,SN Ia,0.997
ZTF19ackjsys,SN Ia,0.997
ZTF19ackjszs,SN Ib,0.997
ZTF19ackjtfm,SN II,0.997
ZTF19ackjvjr,SN Ia,0.997
ZTF19ackjvtl,SN IIP,0.997
ZTF19acklbjr,SN Ia,0.583
ZTF19aclhnkd,SN Ia,0.958
ZTF19aclhohd,SN Ia,0.912
ZTF19aclkbqc,SN Ia,0.637
ZTF19aclljyq,SN Ia,0.295
ZTF19aclofmz,SN Ia,0.26
ZTF19aclthzj,SN Ia,0.628
ZTF19aclyezb,SN Ia,0.546
ZTF19acmbekd,SN Ibn,0.723
ZTF19acmbiad,SN Ia,0.136
ZTF19acmbjvi,SN Ia,0.857
ZTF19acmblbi,SN Ia,0.369
ZTF19acmdpyr,SN Ia,0.228
ZTF19acmgyka,SN Ia,0.479
ZTF19acmvrsw,SN Ia,0.337
ZTF19acmwfli,SN II,0.997
ZTF19acmwipq,SN Ia,0.997
ZTF19acmwszk,SLSN-II,0.997
ZTF19acmxymo,SN Ia,0.997
ZTF19acmyacs,SN II,0.997
ZTF19acmyljb,SN Ia,0.997
ZTF19acmywjc,SN Ia,0.997
ZTF19acnfjyw,SN Ia,0.318
ZTF19acngsnb,SN Ia,0.899
ZTF19acngsnc,SN Ia,0.984
ZTF19acnjwgm,SN Ia,0.266
ZTF19acnkeji,SN Ia,0.326
ZTF19acnqsui,SN Ia,0.906
ZTF19acnzkph,SN Ia,0.293
ZTF19acoaoty,SN Ia,0.551
ZTF19acojuzv,SN Ia,0.184
ZTF19acojxzo,SN Ia,0.311
ZTF19acoknir,SN Ib/c,0.997
ZTF19acokufi,SN Ia,0.785
ZTF19acokzjy,SN Ia,0.266
ZTF19acolhnl,SN Ia,0.997
ZTF19acordoi,SN Ia-91T-like,0.678
