id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.028
ZTF18aatrkga,SN Ia,0.028
ZTF19acdkzxk,SN II,0.028
ZTF19acdxlns,SN Ia,0.176
ZTF19acecluy,SN II,0.028
ZTF19acekkts,SN Ia,0.028
ZTF19acenveq,SN Ia,0.028
ZTF19aceqxtg,SN Ia,0.028
ZTF19acetxvq,SN Ia,0.028
ZTF19acewotx,SN Ia,0.028
ZTF19acexijn,SN Ia,0.028
ZTF19acfecsg,SN Ia,0.122
ZTF19acfejbj,SN II,0.694
ZTF19acfmwlh,SN Ia,0.028
ZTF19acfrntd,SN Ia,0.028
ZTF19acfsbpa,SN II,0.028
ZTF19acfsqjx,SN Ia,0.767
ZTF19acftaml,SN Ia,0.93
ZTF19acftfav,SN IIP,0.707
ZTF19acfthre,SN Ia,0.028
ZTF19acfwynw,SLSN-I,0.266
ZTF19acfxbki,SN Ia,0.028
ZTF19acfxbxe,SN Ia,0.028
ZTF19acgaxej,SN Ia,0.028
ZTF19acgcdas,SN Ia,0.028
ZTF19acgdfjt,SN Ia,0.028
ZTF19acgdxel,SN Ia,0.144
ZTF19acgemqj,SN Ia-91T-like,0.168
ZTF19acgfvvi,SN II,0.028
ZTF19acgjnfz,SN Ia,0.028
ZTF19acgjnis,SN Ia,0.028
ZTF19acgjojy,SN Ia,0.818
ZTF19acgmkrt,SN Ia,0.282
ZTF19acgogcm,SN Ia,0.028
ZTF19acgonwy,SN Ia,0.828
ZTF19acgouje,SN Ia,0.028
ZTF19acgphsf,SN Ia,0.028
ZTF19acgpkye,SN Ia,0.028
ZTF19acgqjln,SN Ia,0.792
ZTF19acgrbeb,SN Ia,0.878
ZTF19acgzwbm,SN II,0.028
ZTF19acgzzea,SN IIP,0.028
ZTF19achagst,SN Ia,0.818
ZTF19achahea,SN Ia,0.028
ZTF19achajnc,SN Ia,0.757
ZTF19achejoc,SN Ia,0.796
ZTF19achetvw,SN Ia,0.907
ZTF19achiyvy,SN Ic,0.836
ZTF19achjpyc,SN Ia-91T-like,0.028
ZTF19achjqbk,SN IIP,0.871
ZTF19achtewn,SN Ia,0.137
ZTF19achticg,SN Ia,0.028
ZTF19achtifr,SN II,0.028
ZTF19acifuyf,SN Ia,0.699
ZTF19acigkma,SN Ia-91T-like,0.835
ZTF19acignlo,SN II,0.733
ZTF19acihfxz,SN Ia,0.904
ZTF19acihgng,SN Ia,0.823
ZTF19acitnck,SN Ia,0.92
ZTF19acjdufa,SN Ia,0.748
ZTF19acjdwqv,SN Ia,0.902
ZTF19acjerdh,SN Ia,0.853
ZTF19acjerzj,SN Ia,0.028
ZTF19acjfhom,SN Ia,0.857
ZTF19acjifxp,SN Ia,0.028
ZTF19acjjwsy,SN Ia,0.819
ZTF19acjnatv,SN Ia,0.856
ZTF19acjnaxa,SN Ia,0.861
ZTF19acjqecl,SN Ia,0.145
ZTF19acjtkha,SN Ia,0.842
ZTF19acjtlxe,SN Ic,0.028
ZTF19acjtpmm,SN II,0.028
ZTF19acjtpqd,SN Ic,0.028
ZTF19acjuomg,SN Ia,0.829
ZTF19acjurot,SN Ia,0.149
ZTF19acjutrw,SN IIn,0.028
ZTF19acjwcqy,SN Ic-BL,0.871
ZTF19acjwdnu,SN II,0.78
ZTF19acjwqvo,SN Ia,0.812
ZTF19ackjene,SN IIb,0.841
ZTF19ackjjwf,SN Ib,0.717
ZTF19ackjlrd,SN Ia,0.028
ZTF19ackjmge,SN Ia,0.028
ZTF19ackjnuq,SN Ia,0.028
ZTF19ackjozg,SN Ia,0.028
ZTF19ackjsys,SN Ia,0.028
ZTF19ackjszs,SN Ib,0.028
ZTF19ackjtfm,SN II,0.028
ZTF19ackjvjr,SN Ia,0.028
ZTF19ackjvtl,SN IIP,0.028
ZTF19aclhnkd,SN Ia,0.898
ZTF19aclhohd,SN Ia,0.931
ZTF19aclkbqc,SN Ia,0.136
ZTF19aclljyq,SN Ia,0.904
ZTF19aclofmz,SN Ia,0.787
ZTF19aclthzj,SN Ia,0.887
ZTF19aclyezb,SN Ia,0.812
ZTF19acmbekd,SN Ibn,0.128
ZTF19acmbiad,SN Ia,0.902
ZTF19acmbjvi,SN Ia,0.919
ZTF19acmbkmr,SN Ia,0.843
ZTF19acmblbi,SN Ia,0.803
ZTF19acmdpyr,SN Ia,0.865
ZTF19acmelor,SN Ib,0.852
ZTF19acmgyka,SN Ia,0.806
ZTF19acmvrsw,SN Ia,0.83
ZTF19acmwfli,SN II,0.028
ZTF19acmwipq,SN Ia,0.028
ZTF19acmwkul,SN Ia,0.028
ZTF19acmwszk,SLSN-II,0.028
ZTF19acmxidf,SN Ia,0.79
ZTF19acmxymo,SN Ia,0.028
ZTF19acmyacs,SN II,0.028
ZTF19acmyljb,SN Ia,0.028
ZTF19acmywjc,SN Ia,0.028
ZTF19acnfjyw,SN Ia,0.883
ZTF19acngsnb,SN Ia,0.798
ZTF19acngsnc,SN Ia,0.909
ZTF19acnjwgm,SN Ia,0.762
ZTF19acnkeji,SN Ia,0.842
ZTF19acnqsui,SN Ia,0.919
ZTF19acnzkph,SN Ia,0.793
ZTF19acoaoty,SN Ia,0.837
ZTF19acojuzv,SN Ia,0.828
ZTF19acoknir,SN Ib/c,0.028
ZTF19acokufi,SN Ia,0.19
ZTF19acokzjy,SN Ia,0.892
ZTF19acolhnl,SN Ia,0.028
ZTF19acordoi,SN Ia-91T-like,0.882
ZTF19acoxgqw,SN Ia,0.81
ZTF19acoyxuv,SN Ia,0.028
ZTF19acpfnth,SN Ia,0.028
ZTF19acpgaet,SN Ia,0.852
ZTF19acpmuwu,SN Ia,0.824
ZTF19acqdato,SN Ia,0.028
ZTF19acqmwtg,SN Ia,0.028
