id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.6027772422022424
ZTF18aatrkga,SN Ia,0.6027772422022424
ZTF19acdkzxk,SN II,0.6027772422022424
ZTF19acdxlns,SN Ia,0.7456080808080809
ZTF19acecluy,SN II,0.6027772422022424
ZTF19acekkts,SN Ia,0.6027772422022424
ZTF19acenveq,SN Ia,0.6027772422022424
ZTF19aceqxtg,SN Ia,0.6027772422022424
ZTF19acetxvq,SN Ia,0.6027772422022424
ZTF19acewotx,SN Ia,0.6027772422022424
ZTF19acewuwn,SN II,0.597
ZTF19acexijn,SN Ia,0.6027772422022424
ZTF19acfecsg,SN Ia,0.8047652236652236
ZTF19acfejbj,SN II,0.5390944444444445
ZTF19acfmwlh,SN Ia,0.6027772422022424
ZTF19acfrntd,SN Ia,0.6027772422022424
ZTF19acfsbpa,SN II,0.6027772422022424
ZTF19acfsqjx,SN Ia,0.7793333333333333
ZTF19acftaml,SN Ia,0.6528968253968255
ZTF19acftfav,SN IIP,0.6427944444444444
ZTF19acftfst,SN Ia,0.4298448412698411
ZTF19acfwynw,SLSN-I,0.35946190476190476
ZTF19acfxbki,SN Ia,0.6027772422022424
ZTF19acfxbxe,SN Ia,0.6027772422022424
ZTF19acgaxej,SN Ia,0.6027772422022424
ZTF19acgbzam,SN Ia,0.709
ZTF19acgcdas,SN Ia,0.6027772422022424
ZTF19acgcshq,SN Ia,0.7663333333333334
ZTF19acgdfjt,SN Ia,0.6027772422022424
ZTF19acgdxel,SN Ia,0.784594191919192
ZTF19acgemqj,SN Ia-91T-like,0.8337011904761903
ZTF19acgfvvi,SN II,0.6027772422022424
ZTF19acgjnfz,SN Ia,0.6027772422022424
ZTF19acgjnis,SN Ia,0.6027772422022424
ZTF19acgjohb,SN Ia,0.5778555555555556
ZTF19acgjojy,SN Ia,0.7276007936507938
ZTF19acgjosf,SN Ia,0.4491781746031745
ZTF19acgjpgh,SLSN-I,0.6166837301587301
ZTF19acgogcm,SN Ia,0.6027772422022424
ZTF19acgonwy,SN Ia,0.5305111111111112
ZTF19acgouje,SN Ia,0.6027772422022424
ZTF19acgphsf,SN Ia,0.6027772422022424
ZTF19acgpqxt,SN Ia,0.6351238095238095
ZTF19acgqjln,SN Ia,0.791
ZTF19acgrbeb,SN Ia,0.651070238095238
ZTF19acgzwbm,SN II,0.6027772422022424
ZTF19acgzzea,SN IIP,0.6027772422022424
ZTF19achagst,SN Ia,0.812
ZTF19achahea,SN Ia,0.6027772422022424
ZTF19achajnc,SN Ia,0.907
ZTF19achaspq,SN Ia,0.725
ZTF19achejoc,SN Ia,0.807
ZTF19achjpyc,SN Ia-91T-like,0.6027772422022424
ZTF19achjqbk,SN IIP,0.2880103174603175
ZTF19achtewn,SN Ia,0.807357683982684
ZTF19achticg,SN Ia,0.6027772422022424
ZTF19achtifr,SN II,0.6027772422022424
ZTF19achvpik,SN Ia,0.7550500000000001
ZTF19acifuyf,SN Ia,0.7
ZTF19acignlo,SN II,0.697
ZTF19acihfxz,SN Ia,0.8686499999999999
ZTF19acihgng,SN Ia,0.886
ZTF19acihlft,SN Ia,0.719
ZTF19acjdwqv,SN Ia,0.8247563492063492
ZTF19acjerdh,SN Ia,0.6302777777777778
ZTF19acjerzj,SN Ia,0.6027772422022424
ZTF19acjfhom,SN Ia,0.8848111111111112
ZTF19acjifxp,SN Ia,0.6027772422022424
ZTF19acjjwsy,SN Ia,0.6954666666666666
ZTF19acjnatv,SN Ia,0.5358968253968253
ZTF19acjnaxa,SN Ia,0.4412730158730159
ZTF19acjqecl,SN Ia,0.8727047619047618
ZTF19acjtkha,SN Ia,0.8553999999999999
ZTF19acjtlxe,SN Ic,0.6027772422022424
ZTF19acjtpmm,SN II,0.6027772422022424
ZTF19acjtpqd,SN Ic,0.6027772422022424
ZTF19acjuomg,SN Ia,0.662
ZTF19acjurot,SN Ia,0.9140623015873015
ZTF19acjutrw,SN IIn,0.6027772422022424
ZTF19acjwcqy,SN Ic-BL,0.45534880952380946
ZTF19acjwqvo,SN Ia,0.851
ZTF19ackbclh,SN IIn,0.6027772422022424
ZTF19ackjene,SN IIb,0.8070055555555556
ZTF19ackjlrd,SN Ia,0.6027772422022424
ZTF19ackjmge,SN Ia,0.6027772422022424
ZTF19ackjnuq,SN Ia,0.6027772422022424
ZTF19ackjsys,SN Ia,0.6027772422022424
ZTF19ackjszs,SN Ib,0.6027772422022424
ZTF19ackjtfm,SN II,0.6027772422022424
ZTF19ackjvjr,SN Ia,0.6027772422022424
ZTF19ackjvtl,SN IIP,0.6027772422022424
ZTF19acklbjr,SN Ia,0.569761111111111
ZTF19aclhnkd,SN Ia,0.6988861111111112
ZTF19aclhohd,SN Ia,0.5110912698412697
ZTF19aclljyq,SN Ia,0.908
ZTF19aclobbu,SN II,0.7814
ZTF19aclofmz,SN Ia,0.812
ZTF19aclthzj,SN Ia,0.77625
ZTF19aclyezb,SN Ia,0.73
ZTF19acmbekd,SN Ibn,0.8630580808080809
ZTF19acmbjvi,SN Ia,0.6039333333333332
ZTF19acmbkmr,SN Ia,0.5811186507936509
ZTF19acmblbi,SN Ia,0.7294869047619047
ZTF19acmdpyr,SN Ia,0.797
ZTF19acmelor,SN Ib,0.80075
ZTF19acmgyka,SN Ia,0.888
ZTF19acmvrsw,SN Ia,0.6494833333333332
ZTF19acmwfli,SN II,0.6027772422022424
ZTF19acmwipq,SN Ia,0.6027772422022424
ZTF19acmwkul,SN Ia,0.6027772422022424
ZTF19acmxidf,SN Ia,0.7038333333333334
ZTF19acmxymo,SN Ia,0.6027772422022424
ZTF19acmyacs,SN II,0.6027772422022424
ZTF19acmyljb,SN Ia,0.6027772422022424
ZTF19acmywjc,SN Ia,0.6027772422022424
ZTF19acnfjyw,SN Ia,0.7547999999999999
ZTF19acngsnb,SN Ia,0.3265361111111111
ZTF19acnjwgm,SN Ia,0.6648
ZTF19acnkeji,SN Ia,0.908
ZTF19acnpnqq,SN Ia,0.32988055555555545
ZTF19acnqsui,SN Ia,0.6437527777777778
ZTF19acnzkph,SN Ia,0.6227999999999999
ZTF19acoaoty,SN Ia,0.824
ZTF19acoknir,SN Ib/c,0.6027772422022424
ZTF19acokufi,SN Ia,0.7109874458874458
