id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.989
ZTF18aatrkga,SN Ia,0.989
ZTF19acdkzxk,SN II,0.989
ZTF19acdxlns,SN Ia,0.763
ZTF19acecluy,SN II,0.989
ZTF19acenveq,SN Ia,0.989
ZTF19aceqxtg,SN Ia,0.989
ZTF19acetxvq,SN Ia,0.989
ZTF19aceuacu,SN Ia,0.839
ZTF19acewotx,SN Ia,0.989
ZTF19acexijn,SN Ia,0.989
ZTF19acfecsg,SN Ia,0.77
ZTF19acfejbj,SN II,0.572
ZTF19acfmwlh,SN Ia,0.989
ZTF19acfrntd,SN Ia,0.989
ZTF19acfsbpa,SN II,0.989
ZTF19acfsqjx,SN Ia,0.847
ZTF19acftaml,SN Ia,0.904
ZTF19acftfst,SN Ia,0.925
ZTF19acfthre,SN Ia,0.989
ZTF19acftude,SN IIn,0.604
ZTF19acfxbki,SN Ia,0.989
ZTF19acfxbxe,SN Ia,0.989
ZTF19acgaxej,SN Ia,0.989
ZTF19acgbkzr,SN II,0.835
ZTF19acgbzam,SN Ia,0.3
ZTF19acgcdas,SN Ia,0.989
ZTF19acgcshq,SN Ia,0.717
ZTF19acgdfjt,SN Ia,0.989
ZTF19acgdxel,SN Ia,0.792
ZTF19acgemqj,SN Ia-91T-like,0.854
ZTF19acgfvvi,SN II,0.989
ZTF19acgjnfz,SN Ia,0.989
ZTF19acgjnis,SN Ia,0.989
ZTF19acgjojy,SN Ia,0.977
ZTF19acgjosf,SN Ia,0.821
ZTF19acgjpgh,SLSN-I,0.855
ZTF19acgogcm,SN Ia,0.989
ZTF19acgonwy,SN Ia,0.854
ZTF19acgouje,SN Ia,0.989
ZTF19acgphsf,SN Ia,0.989
ZTF19acgpkye,SN Ia,0.989
ZTF19acgpqxt,SN Ia,0.902
ZTF19acgqjln,SN Ia,0.86
ZTF19acgxbwo,SN Ia,0.273
ZTF19acgzwbm,SN II,0.989
ZTF19acgzzea,SN IIP,0.989
ZTF19achagst,SN Ia,0.842
ZTF19achahea,SN Ia,0.989
ZTF19achajnc,SN Ia,0.731
ZTF19achejoc,SN Ia,0.618
ZTF19achetvw,SN Ia,0.857
ZTF19achiyvy,SN Ic,0.906
ZTF19achjpyc,SN Ia-91T-like,0.989
ZTF19achjqbk,SN IIP,0.811
ZTF19achtewn,SN Ia,0.746
ZTF19achticg,SN Ia,0.989
ZTF19achtifr,SN II,0.989
ZTF19acifuyf,SN Ia,0.502
ZTF19acignlo,SN II,0.628
ZTF19acigqdd,SN Ia-91T-like,0.836
ZTF19acihfxz,SN Ia,0.878
ZTF19acihgng,SN Ia,0.906
ZTF19acitnck,SN Ia,0.891
ZTF19acjdufa,SN Ia,0.718
ZTF19acjdwqv,SN Ia,0.958
