id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.683
ZTF18aatrkga,SN Ia,0.683
ZTF19acdkzxk,SN II,0.683
ZTF19acdxlns,SN Ia,0.719
ZTF19acecluy,SN II,0.683
ZTF19acekkts,SN Ia,0.683
ZTF19acenveq,SN Ia,0.683
ZTF19aceqxtg,SN Ia,0.683
ZTF19acetxvq,SN Ia,0.683
ZTF19aceuacu,SN Ia,0.74
ZTF19acewotx,SN Ia,0.683
ZTF19acewuwn,SN II,0.594
ZTF19acexijn,SN Ia,0.683
ZTF19acfecsg,SN Ia,0.686
ZTF19acfmwlh,SN Ia,0.683
ZTF19acfrntd,SN Ia,0.683
ZTF19acfsbpa,SN II,0.683
ZTF19acfsqjx,SN Ia,0.754
ZTF19acftfst,SN Ia,0.826
ZTF19acfthre,SN Ia,0.683
ZTF19acfxbki,SN Ia,0.683
ZTF19acfxbxe,SN Ia,0.683
ZTF19acgaxej,SN Ia,0.683
ZTF19acgcdas,SN Ia,0.683
ZTF19acgcshq,SN Ia,0.714
ZTF19acgdfjt,SN Ia,0.683
ZTF19acgdxel,SN Ia,0.693
ZTF19acgemqj,SN Ia-91T-like,0.749
ZTF19acgfvvi,SN II,0.683
ZTF19acgjnfz,SN Ia,0.683
ZTF19acgjnis,SN Ia,0.683
ZTF19acgjohb,SN Ia,0.571
ZTF19acgjojy,SN Ia,0.734
ZTF19acgjosf,SN Ia,0.728
ZTF19acgjpgh,SLSN-I,0.589
ZTF19acgogcm,SN Ia,0.683
ZTF19acgonwy,SN Ia,0.538
ZTF19acgouje,SN Ia,0.683
ZTF19acgphsf,SN Ia,0.683
ZTF19acgpkye,SN Ia,0.683
ZTF19acgpqxt,SN Ia,0.706
ZTF19acgqjln,SN Ia,0.84
ZTF19acgrbeb,SN Ia,0.658
ZTF19acgxbwo,SN Ia,0.652
ZTF19acgzwbm,SN II,0.683
ZTF19acgzzea,SN IIP,0.683
ZTF19achagst,SN Ia,0.805
ZTF19achahea,SN Ia,0.683
ZTF19achajnc,SN Ia,0.765
ZTF19achaspq,SN Ia,0.635
ZTF19achejoc,SN Ia,0.727
ZTF19achetvw,SN Ia,0.844
ZTF19achiyvy,SN Ic,0.849
ZTF19achjpyc,SN Ia-91T-like,0.683
ZTF19achjqbk,SN IIP,0.619
ZTF19achtewn,SN Ia,0.647
ZTF19achticg,SN Ia,0.683
ZTF19achtifr,SN II,0.683
ZTF19achvpik,SN Ia,0.698
ZTF19acifuyf,SN Ia,0.73
ZTF19acigkma,SN Ia-91T-like,0.699
ZTF19acignlo,SN II,0.703
ZTF19acigqdd,SN Ia-91T-like,0.727
ZTF19acihfxz,SN Ia,0.77
ZTF19acihgng,SN Ia,0.882
ZTF19acihlft,SN Ia,0.583
ZTF19acitkzs,SN Ia,0.665
ZTF19acitnck,SN Ia,0.807
ZTF19acjdufa,SN Ia,0.78
ZTF19acjdwqv,SN Ia,0.809
ZTF19acjerdh,SN Ia,0.795
ZTF19acjerzj,SN Ia,0.683
