id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.748
ZTF18aatrkga,SN Ia,0.748
ZTF19acdkzxk,SN II,0.748
ZTF19acdxlns,SN Ia,0.692
ZTF19acecluy,SN II,0.748
ZTF19acekkts,SN Ia,0.748
ZTF19acenveq,SN Ia,0.748
ZTF19aceqxtg,SN Ia,0.748
ZTF19acetxvq,SN Ia,0.748
ZTF19acewotx,SN Ia,0.748
ZTF19acexijn,SN Ia,0.748
ZTF19acfecsg,SN Ia,0.767
ZTF19acfmwlh,SN Ia,0.748
ZTF19acfrntd,SN Ia,0.748
ZTF19acfsbpa,SN II,0.748
ZTF19acfsqjx,SN Ia,0.85
ZTF19acftfav,SN IIP,0.702
ZTF19acftfst,SN Ia,0.701
ZTF19acfthre,SN Ia,0.748
ZTF19acfwynw,SLSN-I,0.383
ZTF19acfxbki,SN Ia,0.748
ZTF19acfxbxe,SN Ia,0.748
ZTF19acgaxej,SN Ia,0.748
ZTF19acgbkzr,SN II,0.349
ZTF19acgbzam,SN Ia,0.273
ZTF19acgcdas,SN Ia,0.748
ZTF19acgcshq,SN Ia,0.608
ZTF19acgdfjt,SN Ia,0.748
ZTF19acgdxel,SN Ia,0.68
ZTF19acgemqj,SN Ia-91T-like,0.747
ZTF19acgfvvi,SN II,0.748
ZTF19acgjnfz,SN Ia,0.748
ZTF19acgjnis,SN Ia,0.748
ZTF19acgjojy,SN Ia,0.869
ZTF19acgjosf,SN Ia,0.672
ZTF19acgjpgh,SLSN-I,0.702
ZTF19acgmkrt,SN Ia,0.581
ZTF19acgogcm,SN Ia,0.748
ZTF19acgonwy,SN Ia,0.306
ZTF19acgouje,SN Ia,0.748
ZTF19acgphsf,SN Ia,0.748
ZTF19acgpkye,SN Ia,0.748
ZTF19acgpqxt,SN Ia,0.762
ZTF19acgqjln,SN Ia,0.777
ZTF19acgxbwo,SN Ia,0.284
ZTF19acgzwbm,SN II,0.748
ZTF19acgzzea,SN IIP,0.748
ZTF19achagst,SN Ia,0.775
ZTF19achahea,SN Ia,0.748
ZTF19achajnc,SN Ia,0.721
ZTF19achaspq,SN Ia,0.539
ZTF19achejoc,SN Ia,0.521
ZTF19achetvw,SN Ia,0.721
ZTF19achiyvy,SN Ic,0.615
ZTF19achjpyc,SN Ia-91T-like,0.748
ZTF19achjqbk,SN IIP,0.302
ZTF19achtewn,SN Ia,0.747
ZTF19achticg,SN Ia,0.748
ZTF19achtifr,SN II,0.748
ZTF19achvpik,SN Ia,0.628
ZTF19acifuyf,SN Ia,0.573
ZTF19acigkma,SN Ia-91T-like,0.669
ZTF19acignlo,SN II,0.358
ZTF19acigqdd,SN Ia-91T-like,0.721
ZTF19acihfxz,SN Ia,0.757
ZTF19acihgng,SN Ia,0.803
ZTF19acihlft,SN Ia,0.535
ZTF19acitkzs,SN Ia,0.583
ZTF19acitnck,SN Ia,0.785
ZTF19acjdwqv,SN Ia,0.852
ZTF19acjerdh,SN Ia,0.832
ZTF19acjerzj,SN Ia,0.748
ZTF19acjfhom,SN Ia,0.919
ZTF19acjifxp,SN Ia,0.748
ZTF19acjjwsy,SN Ia,0.862
ZTF19acjnatv,SN Ia,0.864
ZTF19acjnaxa,SN Ia,0.286
ZTF19acjqecl,SN Ia,0.75
ZTF19acjtkha,SN Ia,0.597
ZTF19acjtlxe,SN Ic,0.748
ZTF19acjtpmm,SN II,0.748
ZTF19acjtpqd,SN Ic,0.748
ZTF19acjuomg,SN Ia,0.789
ZTF19acjurot,SN Ia,0.767
ZTF19acjutrw,SN IIn,0.748
ZTF19acjwqvo,SN Ia,0.65
ZTF19ackbclh,SN IIn,0.748
ZTF19ackjene,SN IIb,0.806
ZTF19ackjjwf,SN Ib,0.614
ZTF19ackjlrd,SN Ia,0.748
ZTF19ackjmge,SN Ia,0.748
ZTF19ackjnuq,SN Ia,0.748
ZTF19ackjozg,SN Ia,0.748
ZTF19ackjsys,SN Ia,0.748
ZTF19ackjszs,SN Ib,0.748
ZTF19ackjtfm,SN II,0.748
ZTF19ackjvjr,SN Ia,0.748
ZTF19ackjvtl,SN IIP,0.748
ZTF19acklbjr,SN Ia,0.776
ZTF19aclhnkd,SN Ia,0.904
ZTF19aclhohd,SN Ia,0.872
ZTF19aclkbqc,SN Ia,0.788
ZTF19aclljyq,SN Ia,0.732
ZTF19aclofmz,SN Ia,0.745
ZTF19aclthzj,SN Ia,0.843
ZTF19aclyezb,SN Ia,0.789
ZTF19acmbekd,SN Ibn,0.686
ZTF19acmbiad,SN Ia,0.669
ZTF19acmbjvi,SN Ia,0.77
ZTF19acmbkmr,SN Ia,0.709
ZTF19acmblbi,SN Ia,0.724
ZTF19acmdpyr,SN Ia,0.798
ZTF19acmelor,SN Ib,0.619
ZTF19acmgyka,SN Ia,0.868
ZTF19acmvrsw,SN Ia,0.308
ZTF19acmwfli,SN II,0.748
ZTF19acmwipq,SN Ia,0.748
ZTF19acmwkul,SN Ia,0.748
ZTF19acmwszk,SLSN-II,0.748
ZTF19acmxymo,SN Ia,0.748
ZTF19acmyacs,SN II,0.748
ZTF19acmyljb,SN Ia,0.748
ZTF19acmywjc,SN Ia,0.748
ZTF19acngsnb,SN Ia,0.623
ZTF19acngsnc,SN Ia,0.795
