id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.31804563492063453
ZTF18aatrkga,SN Ia,0.31804563492063453
ZTF19acdkzxk,SN II,0.31804563492063453
ZTF19acdxlns,SN Ia,0.13142380952380953
ZTF19acecluy,SN II,0.31804563492063453
ZTF19acekkts,SN Ia,0.31804563492063453
ZTF19acenveq,SN Ia,0.31804563492063453
ZTF19aceqxtg,SN Ia,0.31804563492063453
ZTF19acetxvq,SN Ia,0.31804563492063453
ZTF19acewotx,SN Ia,0.31804563492063453
ZTF19acexijn,SN Ia,0.31804563492063453
ZTF19acfecsg,SN Ia,0.1325797619047619
ZTF19acfejbj,SN II,0.8116166666666667
ZTF19acfmwlh,SN Ia,0.31804563492063453
ZTF19acfrntd,SN Ia,0.31804563492063453
ZTF19acfsbpa,SN II,0.31804563492063453
ZTF19acfsqjx,SN Ia,0.7843333333333332
ZTF19acftaml,SN Ia,0.9204333333333333
ZTF19acftfav,SN IIP,0.7701166666666666
ZTF19acftfst,SN Ia,0.8900833333333333
ZTF19acfthre,SN Ia,0.31804563492063453
ZTF19acfxbki,SN Ia,0.31804563492063453
ZTF19acfxbxe,SN Ia,0.31804563492063453
ZTF19acgaxej,SN Ia,0.31804563492063453
ZTF19acgbkzr,SN II,0.6347670634920636
ZTF19acgbzam,SN Ia,0.288
ZTF19acgcdas,SN Ia,0.31804563492063453
ZTF19acgcshq,SN Ia,0.76
ZTF19acgdfjt,SN Ia,0.31804563492063453
ZTF19acgdxel,SN Ia,0.1261404761904762
ZTF19acgfvvi,SN II,0.31804563492063453
ZTF19acgjnfz,SN Ia,0.31804563492063453
ZTF19acgjnis,SN Ia,0.31804563492063453
ZTF19acgjohb,SN Ia,0.8154499999999999
ZTF19acgjojy,SN Ia,0.9430000000000001
ZTF19acgjosf,SN Ia,0.7405452380952382
ZTF19acgjpgh,SLSN-I,0.7794944444444445
ZTF19acgogcm,SN Ia,0.31804563492063453
ZTF19acgonwy,SN Ia,0.9091166666666667
ZTF19acgouje,SN Ia,0.31804563492063453
ZTF19acgphsf,SN Ia,0.31804563492063453
ZTF19acgpkye,SN Ia,0.31804563492063453
ZTF19acgpqxt,SN Ia,0.8387666666666668
ZTF19acgqjln,SN Ia,0.769
ZTF19acgrbeb,SN Ia,0.86355
ZTF19acgzwbm,SN II,0.31804563492063453
ZTF19acgzzea,SN IIP,0.31804563492063453
ZTF19achagst,SN Ia,0.927
ZTF19achahea,SN Ia,0.31804563492063453
ZTF19achajnc,SN Ia,0.75
ZTF19achetvw,SN Ia,0.9032333333333333
ZTF19achiyvy,SN Ic,0.8772166666666665
ZTF19achjpyc,SN Ia-91T-like,0.31804563492063453
ZTF19achjqbk,SN IIP,0.8341166666666667
ZTF19achtewn,SN Ia,0.13600000000000004
ZTF19achticg,SN Ia,0.31804563492063453
ZTF19achtifr,SN II,0.31804563492063453
ZTF19acihfxz,SN Ia,0.8703333333333334
ZTF19acihgng,SN Ia,0.803
ZTF19acihlft,SN Ia,0.679
ZTF19acitnck,SN Ia,0.96
ZTF19acjdufa,SN Ia,0.683
ZTF19acjdwqv,SN Ia,0.9693333333333333
ZTF19acjerdh,SN Ia,0.942
ZTF19acjerzj,SN Ia,0.31804563492063453
ZTF19acjifxp,SN Ia,0.31804563492063453
ZTF19acjnatv,SN Ia,0.8274499999999999
ZTF19acjnaxa,SN Ia,0.9017833333333334
ZTF19acjqecl,SN Ia,0.1406214285714286
ZTF19acjtkha,SN Ia,0.797
ZTF19acjtlxe,SN Ic,0.31804563492063453
ZTF19acjtpmm,SN II,0.31804563492063453
ZTF19acjtpqd,SN Ic,0.31804563492063453
ZTF19acjuomg,SN Ia,0.834
ZTF19acjurot,SN Ia,0.23199166666666668
ZTF19acjutrw,SN IIn,0.31804563492063453
ZTF19acjwcqy,SN Ic-BL,0.8938833333333334
ZTF19acjwdnu,SN II,0.8721166666666667
ZTF19acjwqvo,SN Ia,0.8143333333333334
ZTF19ackbclh,SN IIn,0.31804563492063453
ZTF19ackjene,SN IIb,0.9344333333333334
