id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.233
ZTF18aatrkga,SN Ia,0.233
ZTF19acdkzxk,SN II,0.233
ZTF19acdxlns,SN Ia,0.306
ZTF19acecluy,SN II,0.233
ZTF19acekkts,SN Ia,0.233
ZTF19acenveq,SN Ia,0.233
ZTF19aceqxtg,SN Ia,0.233
ZTF19acetxvq,SN Ia,0.233
ZTF19aceuacu,SN Ia,0.806
ZTF19acewotx,SN Ia,0.233
ZTF19acewuwn,SN II,0.698
ZTF19acexijn,SN Ia,0.233
ZTF19acfecsg,SN Ia,0.267
ZTF19acfmwlh,SN Ia,0.233
ZTF19acfrntd,SN Ia,0.233
ZTF19acfsbpa,SN II,0.233
ZTF19acfsqjx,SN Ia,0.886
ZTF19acftaml,SN Ia,0.904
ZTF19acftfst,SN Ia,0.874
ZTF19acfthre,SN Ia,0.233
ZTF19acfxbki,SN Ia,0.233
ZTF19acfxbxe,SN Ia,0.233
ZTF19acgaxej,SN Ia,0.233
ZTF19acgbkzr,SN II,0.522
ZTF19acgbzam,SN Ia,0.55
ZTF19acgcdas,SN Ia,0.233
ZTF19acgcshq,SN Ia,0.654
ZTF19acgdfjt,SN Ia,0.233
ZTF19acgdxel,SN Ia,0.307
ZTF19acgemqj,SN Ia-91T-like,0.295
ZTF19acgfvvi,SN II,0.233
ZTF19acgjnfz,SN Ia,0.233
ZTF19acgjnis,SN Ia,0.233
ZTF19acgjohb,SN Ia,0.853
ZTF19acgjojy,SN Ia,0.932
ZTF19acgjosf,SN Ia,0.662
ZTF19acgjpgh,SLSN-I,0.628
ZTF19acgogcm,SN Ia,0.233
ZTF19acgonwy,SN Ia,0.861
ZTF19acgouje,SN Ia,0.233
ZTF19acgphsf,SN Ia,0.233
ZTF19acgpkye,SN Ia,0.233
ZTF19acgpqxt,SN Ia,0.748
ZTF19acgqjln,SN Ia,0.75
ZTF19acgrbeb,SN Ia,0.781
ZTF19acgxbwo,SN Ia,0.671
ZTF19acgzwbm,SN II,0.233
ZTF19acgzzea,SN IIP,0.233
ZTF19achagst,SN Ia,0.796
ZTF19achahea,SN Ia,0.233
ZTF19achaspq,SN Ia,0.628
ZTF19achejoc,SN Ia,0.731
ZTF19achetvw,SN Ia,0.938
ZTF19achiyvy,SN Ic,0.824
ZTF19achjpyc,SN Ia-91T-like,0.233
ZTF19achjqbk,SN IIP,0.745
ZTF19achtewn,SN Ia,0.278
ZTF19achticg,SN Ia,0.233
ZTF19achtifr,SN II,0.233
ZTF19acifuyf,SN Ia,0.716
ZTF19acignlo,SN II,0.603
ZTF19acigqdd,SN Ia-91T-like,0.626
ZTF19acihfxz,SN Ia,0.781
ZTF19acihgng,SN Ia,0.852
ZTF19acihlft,SN Ia,0.522
ZTF19acjdufa,SN Ia,0.8
ZTF19acjdwqv,SN Ia,0.957
ZTF19acjerdh,SN Ia,0.91
ZTF19acjerzj,SN Ia,0.233
ZTF19acjfhom,SN Ia,0.956
ZTF19acjifxp,SN Ia,0.233
ZTF19acjnatv,SN Ia,0.877
ZTF19acjqecl,SN Ia,0.26
ZTF19acjtkha,SN Ia,0.679
ZTF19acjtlxe,SN Ic,0.233
ZTF19acjtpmm,SN II,0.233
ZTF19acjtpqd,SN Ic,0.233
ZTF19acjurot,SN Ia,0.331
ZTF19acjwcqy,SN Ic-BL,0.774
ZTF19acjwdnu,SN II,0.687
ZTF19acjwqvo,SN Ia,0.744
ZTF19ackbclh,SN IIn,0.233
ZTF19ackjene,SN IIb,0.832
ZTF19ackjjwf,SN Ib,0.805
ZTF19ackjlrd,SN Ia,0.233
ZTF19ackjmge,SN Ia,0.233
ZTF19ackjnuq,SN Ia,0.233
ZTF19ackjozg,SN Ia,0.233
ZTF19ackjsys,SN Ia,0.233
ZTF19ackjszs,SN Ib,0.233
ZTF19ackjtfm,SN II,0.233
ZTF19ackjvjr,SN Ia,0.233
ZTF19ackjvtl,SN IIP,0.233
ZTF19acklbjr,SN Ia,0.734
ZTF19aclhnkd,SN Ia,0.949
ZTF19aclhohd,SN Ia,0.896
ZTF19aclkbqc,SN Ia,0.298
ZTF19aclljyq,SN Ia,0.78
ZTF19aclobbu,SN II,0.686
ZTF19aclofmz,SN Ia,0.659
ZTF19aclyezb,SN Ia,0.901
ZTF19acmbekd,SN Ibn,0.3
ZTF19acmbiad,SN Ia,0.796
ZTF19acmbjvi,SN Ia,0.867
ZTF19acmblbi,SN Ia,0.601
ZTF19acmdpyr,SN Ia,0.865
ZTF19acmelor,SN Ib,0.715
ZTF19acmgyka,SN Ia,0.874
ZTF19acmwfli,SN II,0.233
ZTF19acmwipq,SN Ia,0.233
ZTF19acmwkul,SN Ia,0.233
ZTF19acmwszk,SLSN-II,0.233
ZTF19acmxidf,SN Ia,0.633
ZTF19acmxymo,SN Ia,0.233
ZTF19acmyacs,SN II,0.233
ZTF19acmyljb,SN Ia,0.233
ZTF19acmywjc,SN Ia,0.233
ZTF19acnfjyw,SN Ia,0.882
ZTF19acngsnb,SN Ia,0.828
ZTF19acnjwgm,SN Ia,0.658
ZTF19acnkeji,SN Ia,0.786
ZTF19acnpnqq,SN Ia,0.595
ZTF19acnqsui,SN Ia,0.93
ZTF19acnzkph,SN Ia,0.601
ZTF19acoaoty,SN Ia,0.739
ZTF19acojuzv,SN Ia,0.731
ZTF19acojxzo,SN Ia,0.625
ZTF19acoknir,SN Ib/c,0.233
ZTF19acokufi,SN Ia,0.223
ZTF19acokzjy,SN Ia,0.836
ZTF19acolhnl,SN Ia,0.233
ZTF19acoxgqw,SN Ia,0.919
ZTF19acoyxuv,SN Ia,0.233
ZTF19acpfnth,SN Ia,0.233
ZTF19acpgaet,SN Ia,0.924
ZTF19acpmuwu,SN Ia,0.688
ZTF19acqdato,SN Ia,0.233
ZTF19acqmwtg,SN Ia,0.233
ZTF19acqupbp,SN Ia,0.945
ZTF19acqxoll,SN Ia,0.769
ZTF19acqypso,SN Ia,0.737
ZTF19acrcupt,SN Ia,0.849
ZTF19acrcxri,SN II,0.783
ZTF19acrdcwh,SN Ia,0.212
ZTF19acrddcz,SN Ia-91T-like,0.249
ZTF19acrmmpq,SN Ia,0.294
ZTF19acruaaa,SN Ia,0.233
ZTF19acruqph,SN Ia,0.817
ZTF19acrvfkz,SN Ia,0.233
ZTF19acrwvao,SN II,0.233
ZTF19acrwyyb,SN Ibn,0.233
ZTF19acrwzqs,SN Ia,0.233
ZTF19acryaon,SN Ia,0.277
ZTF19acryurj,SN II,0.592
ZTF19acsaoxd,SN Ia,0.233
ZTF19acsfpmi,SN Ia,0.233
ZTF19acsfvog,SN Ia,0.233
ZTF19acshfvz,SN Ia,0.233
ZTF19acshkft,SN Ia,0.686
ZTF19acspfcb,SN Ia,0.233
ZTF19acsvqrx,SN Ia,0.813
ZTF19acszmgx,SN II,0.233
ZTF19actaiag,SN Ia,0.233
ZTF19acteaxl,SN Ia,0.233
ZTF19actfpma,SN Ia,0.233
ZTF19actfpmy,SN Ia,0.233
ZTF19actfxcd,SN IIP,0.233
ZTF19acthgxq,SN Ia,0.233
ZTF19acthucv,SN Ia,0.233
ZTF19actldas,SN Ia,0.665
ZTF19actnyae,SN II,0.233
ZTF19actzjrf,SN Ia,0.233
ZTF19acudiph,SN Ia,0.233
ZTF19acuitcy,SN Ia,0.233
ZTF19acukcte,SN Ia,0.233
ZTF19acukucu,SN IIn,0.354
ZTF19aculczm,SN Ia,0.233
ZTF19aculgvn,SN Ia,0.233
ZTF19aculypc,SN Ia,0.233
ZTF19acuybzx,SN Ia,0.233
ZTF19acvgbeh,SN Ia-91T-like,0.233
ZTF19acvkibv,SN IIn,0.233
ZTF19acvmcdd,SN II,0.233
ZTF19acvrgde,SN Ia,0.233
ZTF19acvrigb,SN Ia,0.233
ZTF19acvrjzd,SN II,0.233
ZTF19acvtrxj,SN II,0.233
ZTF19acwbhih,SN II,0.233
ZTF19acwqvvn,SN Ia,0.718
ZTF20aauhbvu,SN IIP,0.233
ZTF20aaurwes,SN Ia,0.233
ZTF20abjaapj,SN II,0.275
ZTF20abjfufv,SN Ia,0.672
ZTF20abnbilr,SN Ia,0.233
ZTF20abnnfpv,SN II,0.233
ZTF20abobpcb,SLSN-I,0.234
ZTF20abpucsd,SN Ia,0.233
ZTF20abpuijn,SN Ia,0.233
ZTF20abpvhij,SN Ia,0.233
ZTF20abpvolc,SN Ia,0.233
ZTF20abqaqgv,SN Ia,0.233
ZTF20abqdqyh,SN II,0.233
ZTF20abqfgee,SN Ia,0.233
ZTF20abqgzhh,SN Ia,0.233
ZTF20abqlawg,SN Ia,0.24
ZTF20abqlgtv,SN Ia,0.233
ZTF20absvtnc,SN Ia,0.303
ZTF20absvwdh,SN Ia,0.924
ZTF20absyium,SN Ia,0.233
ZTF20abszzlp,SN Ia,0.233
ZTF20abtnpwt,SN Ia,0.196
ZTF20abuqali,SN II,0.56
ZTF20abvqibv,SN Ia-91T-like,0.233
ZTF20abvqilf,SN Ia,0.295
ZTF20abvtozi,SN Ia,0.78
ZTF20abvyare,SN Ia,0.233
ZTF20abwdaeo,SN II,0.328
